first_name,last_name,dob,company_id,last_active,score,member_since,state
Randall,Hendricks,1979-12-01,14,2018-08-23,85,1972,SC
Lauren,Page,1995-03-22,20,2018-07-25,95,2016,ID
Brandon,Roberts,1990-04-28,4,2018-07-13,72,1984,DC
Gabriel,Martin,1983-05-19,17,2018-12-29,72,1974,CT
Alison,Huff,1988-04-30,13,2018-01-13,71,1987,IN
Michael,Cook,1980-10-25,11,2018-08-30,81,1978,SC
Lisa,Smith,1986-02-16,19,2018-04-15,82,1973,WA
Robert,Dunn,1972-10-30,20,2018-12-23,73,1993,WV
Ryan,Miller,1994-05-13,13,2018-01-28,62,1972,IN
Brenda,Ward,1982-03-28,1,2018-04-16,90,1979,SC
James,Wilson,1994-09-18,10,2018-03-01,94,1987,CA
James,Bender,1998-02-25,8,2018-01-18,99,1976,LA
Michael,Hardin,1987-08-16,10,2018-10-12,33,1986,WA
Kendra,Leonard,1987-01-14,3,2018-07-21,96,1983,ID
Raymond,Smith,1994-02-09,17,2018-08-07,34,1993,ME
Alexandria,Walker,1982-06-20,20,2018-12-27,69,2018,VT
Courtney,Silva,1991-07-08,2,2018-07-06,58,1975,NH
Lisa,Smith,1990-04-04,0,2018-12-08,47,1983,AR
Travis,Brown,1986-11-20,20,2018-01-25,30,2000,DC
Brendan,King,1993-08-15,2,2019-01-04,78,1978,NC
Cindy,Hart,1984-06-19,11,2018-03-20,57,1979,LA
Susan,Garza,1996-01-20,15,2018-11-02,32,1972,NH
John,Jones,1985-08-20,16,2018-03-23,45,1971,GA
Joshua,Davis,1998-02-15,9,2018-01-25,62,1987,ND
Rachel,Edwards,1998-01-07,20,2018-11-08,98,2018,LA
Deborah,Williams,1989-06-12,14,2018-04-12,50,1987,IN
Darren,Sanchez,1993-03-10,3,2018-01-26,99,1989,HI
Amber,Holmes,1995-03-13,20,2018-06-05,82,1999,OR
David,Martinez,1983-03-24,15,2018-11-14,69,1972,NC
Katherine,Martinez,1984-09-28,12,2018-07-22,63,1980,GA
Amanda,Hill,1993-02-09,16,2018-10-27,58,1985,GA
Ashley,Rivera,1990-10-03,3,2018-07-13,44,1970,OR
Morgan,Evans,1998-06-06,19,2018-03-07,67,1991,CO
James,Clark,1985-12-20,13,2018-10-05,56,1978,SC
Wesley,Anderson,1976-01-14,13,2018-03-13,95,1975,HI
Miguel,Smith,1974-11-24,8,2018-10-30,63,1973,SC
Gina,Clark,1989-06-04,19,2018-02-12,64,1975,NV
Kimberly,Williams,1987-04-27,13,2018-06-15,91,1975,SC
Samuel,Martin,1987-05-11,10,2018-04-15,60,1977,GA
Joseph,Wallace,1993-08-19,2,2018-05-14,85,1990,HI
Kenneth,Gibson,1988-10-24,1,2018-09-10,65,1976,CO
Tiffany,Robinson,1987-08-29,6,2018-05-23,43,1972,NH
Stephanie,Chan,1978-02-05,4,2018-08-30,59,1974,MD
Matthew,Snyder,1992-03-22,9,2018-04-17,92,1983,MO
Thomas,Carrillo,1982-03-24,18,2018-02-23,79,1972,CO
Amy,Le,1981-01-19,0,2018-09-11,51,1970,MS
Timothy,Petersen,1993-07-24,14,2018-02-25,50,1973,NH
Janice,Reed,1990-07-01,13,2018-03-26,40,1972,MS
Amy,Ford,1990-05-23,14,2018-07-29,50,1979,OR
David,Mckenzie,1995-01-14,18,2018-10-30,85,1975,WA
April,Melton,1978-07-05,6,2018-01-29,77,1973,VA
