name,date_of_birth,company_id,last_active,score,joined_league,us_state
Laura Howard,1989-04-26,8,2018-04-15,76,1976,New Jersey
Sheila Bell,1988-04-27,20,2018-08-25,59,2008,Ohio
Samantha Jackson,1986-11-05,4,2018-04-23,47,1978,Washington
Christopher Navarro,1997-07-10,19,2018-01-29,43,1985,Ohio
Laura Hawkins,1995-11-15,17,2018-08-23,40,1976,Pennsylvania
Sabrina Fields,1987-02-04,10,2018-09-18,37,1983,New Jersey
Brian Oliver,1992-03-21,3,2019-01-07,68,1991,Maine
Ashley Green,1996-12-20,13,2018-11-04,73,1992,Indiana
Erica Rose,1986-04-22,19,2018-12-27,59,1983,South Carolina
Michael Pena,1994-08-16,11,2018-07-31,54,1976,North Dakota
Angela Saunders,1973-07-23,20,2018-05-07,61,2014,North Dakota
Robin Thomas,1988-01-13,13,2018-08-20,45,1972,Hawaii
Jessica Lowe,1978-04-16,2,2018-11-18,37,1973,Maine
Travis Miller,1990-02-27,15,2018-07-08,55,1980,Wyoming
Melanie Frey,1998-09-06,11,2018-06-19,43,1975,Maine
Clinton Decker,1993-01-13,18,2018-01-21,65,1980,North Carolina
Marcus Nelson,1984-11-13,16,2018-08-05,65,1982,Maryland
Stephanie Scott,1978-07-29,3,2018-06-03,58,1975,Florida
Eric Mann,1997-04-11,7,2018-09-08,91,1979,New Mexico
Jennifer Johnson,1977-09-14,4,2018-12-09,54,1970,Connecticut
Olivia Carter,1982-01-23,20,2018-07-15,34,1982,New Mexico
Tammy Cook DVM,1994-09-22,12,2018-06-20,36,1992,Maryland
Michael Anderson,1985-07-10,2,2018-02-03,67,1972,Connecticut
Sara Brooks,1995-03-26,12,2018-01-20,70,1990,Minnesota
Brian Bird,1977-09-25,17,2019-01-06,36,1973,Wisconsin
Jacob Davis,1994-02-01,19,2018-07-08,94,1976,Virginia
Alexandria Martinez,1991-10-27,9,2018-05-25,54,1982,New Mexico
Timothy Smith,1997-02-22,6,2018-10-29,30,1971,New Jersey
John Morton,1997-12-22,18,2018-05-09,40,1995,New Mexico
Brianna Wagner,1989-04-01,7,2018-08-18,76,1985,Montana
Jeremy Rangel,1996-04-01,17,2018-02-08,84,1991,Colorado
Ashley Hoffman,1978-01-04,13,2018-02-13,96,1970,Oregon
Andrea Reynolds,1991-11-20,14,2018-05-17,74,1971,Utah
Christopher Conner,1997-09-02,15,2018-04-27,80,1974,Washington
Michael Holmes,1997-10-14,10,2018-06-01,91,1985,California
Jamie Johnston,1980-05-27,19,2018-09-29,48,1974,Utah
Natalie Lee,1978-11-10,12,2018-07-27,69,1977,Virginia
Harry Arnold,1959-11-12,20,2018-07-20,71,1980,Delaware
David Anderson,1992-08-09,1,2018-06-15,95,1983,Missouri
Charles Greer,1998-11-11,13,2018-07-18,30,1994,Indiana
Frank Lee,1972-08-05,20,2018-04-29,30,2002,Kansas
Kelly Anderson,1990-12-06,4,2018-03-25,34,1982,Nevada
Kelly Yang,1991-05-29,8,2018-06-21,84,1973,Rhode Island
Jessica Macias,1992-09-15,18,2018-10-24,61,1981,Montana
Bryan Mueller,1960-04-10,20,2018-05-10,86,1992,Delaware
Amanda Rice,1985-01-14,13,2018-02-03,93,1975,New Hampshire
Jamie Moore,1995-01-25,6,2018-10-16,41,1975,Montana
Valerie Kelly,1989-04-15,7,2018-03-22,76,1988,North Dakota
Aaron Johnson,1997-06-06,20,2018-10-22,82,2004,Maine
Shaun Burns,1997-10-10,4,2018-01-09,60,1980,Colorado
Sarah Miller,1982-10-23,20,2018-07-30,90,1982,Illinois
Gregory Beard,1976-06-10,5,2018-03-14,78,1971,Oregon
Jeremy Roy,1988-03-07,14,2018-12-02,44,1983,Vermont
Sean Scott,1998-05-14,12,2018-09-23,57,1987,Arizona
James Powers,1990-07-24,18,2018-04-15,51,1980,Alaska
Gerald Zamora,1993-07-01,14,2018-12-30,42,1985,West Virginia
Michael Dickerson,1996-12-19,7,2018-09-16,51,1989,Montana
Randy Hart,1998-03-08,2,2018-06-08,84,1983,Vermont
Donald Torres,1992-06-02,12,2018-09-05,80,1980,Maryland
Emily Spencer MD,1998-10-16,16,2018-02-04,70,1980,Washington
Theodore Gray,1998-06-24,9,2018-09-28,53,1990,Louisiana
Dennis Payne,1990-02-20,4,2018-08-04,56,1979,Louisiana
Kristen Smith,1991-10-20,2,2018-11-05,73,1970,South Carolina
Lisa Smith,1981-08-08,6,2018-06-20,76,1973,Iowa
Samantha Johnson,1993-05-27,16,2018-10-30,69,1983,Arizona
Jill Woods,1977-08-02,20,2018-01-23,99,1977,Vermont
Kimberly Taylor,1983-06-04,11,2018-02-21,52,1979,Maine
James Jackson,1982-05-09,16,2018-06-08,63,1971,Minnesota
Shawn Peters,1973-02-18,20,2018-10-06,97,2014,Alaska
Jennifer Crane,1985-12-16,2,2018-03-10,81,1984,Michigan
Christina Johnson,1997-09-19,20,2018-10-20,61,1982,Tennessee
Anna Moore,1996-11-15,6,2018-11-09,88,1995,Utah
Judy Wang,1985-05-23,0,2018-03-21,81,1970,Nebraska
Bethany Massey PhD,1997-02-04,13,2018-04-05,79,1986,Indiana
Christina Branch,1996-09-16,5,2018-12-05,52,1978,Nebraska
Lisa Munoz,1993-06-28,14,2018-02-21,95,1970,Idaho
Luis Lewis,1994-11-02,12,2018-05-29,40,1981,Kentucky
Robert Howard,1993-03-05,17,2018-11-08,34,1972,New Hampshire
Steven Duke,1997-09-02,12,2018-04-30,98,1983,Missouri
Alexandra Golden,1996-03-19,2,2018-12-31,36,1980,Nebraska
Kimberly Ortega,1986-09-18,19,2018-08-07,78,1979,New Hampshire
Jodi Gomez,1993-08-13,6,2018-07-18,55,1972,Utah
Rebecca Jensen,1989-12-08,13,2018-12-17,68,1983,Alaska
Mrs. Susan Gates,1976-05-01,16,2018-06-19,94,1973,Idaho
Brian Page,1998-10-12,10,2018-09-11,94,1990,Nebraska
Eddie Mckee,1996-04-04,0,2018-05-30,64,1983,Texas
John Bray,1984-07-30,14,2018-03-11,83,1975,Iowa
Patrick Roberson,1996-07-28,7,2018-05-09,98,1986,Georgia
Meghan Daugherty,1993-02-09,14,2018-12-22,90,1970,New Mexico
Laura Miller,1982-04-15,2,2018-11-10,66,1981,New Mexico
Eric Esparza,1982-01-01,18,2018-02-12,94,1975,Montana
Alexis Jones,1998-04-07,16,2018-07-06,55,1990,Michigan
Ashley Phillips,1997-08-01,18,2018-04-14,98,1996,Louisiana
Anna Hudson,1989-07-15,20,2018-02-26,42,1987,Missouri
Crystal Martinez,1979-07-01,14,2018-12-07,93,1977,Florida
William Cook,1989-07-22,16,2018-07-24,66,1970,Vermont
John Patton,1982-06-04,4,2018-02-13,91,1980,Oklahoma
Jonathan Bates,1983-12-15,19,2018-06-17,47,1978,Maine
Richard Brown,1998-01-24,13,2018-10-04,77,1971,Louisiana
Andrew Oliver,1989-07-05,17,2018-12-11,82,1974,Vermont
Taylor Vazquez,1978-12-17,8,2018-10-25,86,1971,West Virginia
Ms. Denise Jones,1997-07-11,5,2018-10-28,63,1971,Louisiana
Shelly Joseph,1988-01-10,20,2018-05-10,49,1986,Rhode Island
Christopher Buchanan,1978-04-11,11,2018-03-26,97,1974,South Carolina
Samuel Allen,1995-11-12,5,2018-06-30,81,1990,Texas
Jennifer Cline,1979-04-13,7,2018-05-02,88,1974,North Dakota
Jordan Jimenez,1992-12-14,5,2018-03-17,62,1989,Virginia
Bianca Clayton,1988-06-04,11,2018-08-23,88,1973,Washington
Andrea Mullins,1967-02-26,20,2018-07-12,97,1976,Louisiana
Andrew Lucas,1990-06-27,9,2018-09-10,68,1973,South Dakota
Aaron Burns,1970-02-19,20,2018-01-09,57,2015,Massachusetts
Jonathan Rodriguez,1995-10-26,2,2018-03-17,88,1973,Pennsylvania
Matthew Pratt,1975-11-16,20,2018-12-24,73,1995,Idaho
Tina Spears,1996-06-27,15,2018-09-26,96,1982,Arkansas
David Kennedy,1978-10-05,3,2018-05-03,86,1977,North Carolina
Eddie Jackson,1992-07-18,12,2018-06-02,68,1988,New Hampshire
Michael Mitchell,1995-07-18,14,2018-01-21,84,1972,Michigan
Kathleen Martinez,1975-09-11,20,2018-10-01,35,2011,Pennsylvania
Alexander Bartlett,1973-02-17,20,2018-11-10,65,1981,Oregon
Courtney Brown,1994-02-17,11,2018-12-14,32,1975,Idaho
Daniel Hancock,1997-03-02,13,2018-08-09,48,1972,Michigan
Joshua Bartlett,1994-12-26,17,2018-01-28,59,1970,South Dakota
Ariana Robbins,1988-01-13,14,2018-02-02,94,1970,Minnesota
Brian Stephenson,1996-09-05,18,2018-11-14,39,1978,Kentucky
Angela Erickson,1986-06-13,11,2018-05-09,54,1981,Minnesota
Morgan Spencer,1996-10-01,11,2018-05-23,81,1985,Wyoming
Rhonda Sanchez,1997-04-10,2,2018-09-16,89,1976,Montana
Nicholas Price,1993-04-02,5,2018-06-19,40,1988,Arkansas
Dominic Martin,1997-03-27,18,2018-03-15,46,1992,Wyoming
Christina Franco,1997-09-13,10,2018-12-13,62,1970,Texas
Nicole Williams,1997-06-27,7,2018-07-20,56,1985,Mississippi
Kelsey Brooks,1987-03-01,4,2018-08-03,34,1976,Nevada
Alexis Bailey,1988-10-24,20,2018-02-02,99,2015,Nevada
Robert Pugh MD,1998-09-19,18,2018-06-26,33,1995,Louisiana
Kimberly Williams,1977-09-28,0,2018-10-26,66,1971,Utah
Monica Lynch,1971-02-14,20,2018-04-07,72,1991,Texas
Jessica Cabrera,1981-04-17,19,2018-12-31,38,1977,Iowa
Kerri Bates,1989-11-10,2,2018-04-06,62,1980,Nebraska
Tammy Adams,1989-11-04,8,2018-09-30,79,1979,Montana
Luis Walker,1998-07-26,19,2018-01-13,87,1981,North Carolina
William Lee,1989-03-01,5,2018-04-04,48,1987,Vermont
Daniel Williams,1990-03-06,20,2018-05-25,66,1985,Idaho
Rachel Johnson,1982-09-16,18,2018-09-11,65,1977,South Carolina
Karen Jackson,1961-12-05,20,2018-11-09,37,1985,Indiana
Vincent Mcbride,1990-06-09,17,2018-08-06,80,1976,Ohio
Thomas Murphy,1995-03-19,18,2018-02-02,69,1983,South Dakota
Ronald Wright,1988-07-20,5,2018-12-13,99,1972,New Mexico
Mary James,1987-02-12,18,2018-02-11,50,1971,Kansas
Joseph Frank,1998-11-23,15,2018-07-01,49,1983,Nebraska
Amy Ryan,1992-04-08,15,2018-10-01,36,1975,Oregon
Kimberly Green,1997-10-14,19,2018-01-20,46,1986,Missouri
Joshua Gay,1983-10-16,9,2018-02-11,86,1978,Michigan
Jacob Sanchez,1969-08-19,20,2018-11-07,50,2017,Wisconsin
Eric Sanchez,1982-04-05,1,2018-04-24,40,1980,Arizona
Jennifer Petersen,1995-12-27,14,2018-12-22,88,1978,Maryland
Teresa Torres,1997-10-24,4,2018-09-07,61,1971,Nevada
Anna Fitzpatrick,1993-11-16,13,2018-07-24,96,1975,Idaho
Vickie Carter,1990-05-30,6,2018-09-07,80,1970,California
Kaitlyn Simmons,1996-12-21,1,2018-07-08,48,1989,South Carolina
Amber Houston,1992-05-19,11,2018-05-27,57,1989,Michigan
Jamie Lawrence,1997-03-17,13,2018-03-15,31,1994,Wisconsin
John Ward,1969-06-29,20,2018-04-17,31,2010,Oregon
Lisa Hutchinson,1977-11-07,18,2018-08-21,84,1974,Massachusetts
Meghan Morales,1986-12-14,20,2018-09-01,55,1992,Georgia
Lori Jacobs,1981-08-28,0,2018-08-01,56,1973,Illinois
Patricia Lopez,1974-08-02,20,2018-05-07,83,2014,Oklahoma
Nicole Coffey,1976-09-04,20,2018-04-03,35,2001,Montana
Stephen Bean,1990-08-07,17,2018-07-20,39,1978,Wyoming
Michael Strickland,1989-12-29,4,2018-03-13,87,1985,Nebraska
Paula Fernandez,1993-11-13,9,2018-03-14,76,1981,Alaska
Jessica Morgan,1977-02-24,17,2018-09-17,79,1972,Arizona
Tammy Martinez,1997-01-03,6,2019-01-08,65,1976,Iowa
Chelsey Martin,1997-01-29,10,2018-09-14,66,1990,Georgia
Ellen Sheppard,1992-10-15,16,2018-02-21,32,1984,West Virginia
Brenda Vaughn,1994-03-03,9,2018-08-15,37,1992,New Jersey
Michael Price,1974-06-13,15,2018-07-16,66,1970,Utah
Sally Alvarez,1979-12-21,6,2018-04-23,52,1974,Illinois
Wesley Reed,1998-02-19,7,2018-03-30,66,1988,Maine
Austin Hicks,1994-04-05,6,2018-03-17,76,1972,Arkansas
Linda Conner,1990-04-15,2,2018-05-07,86,1971,Missouri
